Word	Match	Lexicality	Old20	Old20_Diff	Ned1	Ned1_Diff	Overlap_Ratio	Maxdeviation	Summed_Deviation	Maxdeviation_Transition
czwartek	wzmarcek	N	3.0	1.3	0	-4	2/3	-90	115	_wzma[rc]ek_
czwartek	człarnek	N	2.7	1.0	0	-4	2/3	107	213	_czła[rn]ek_
czwartek	człarcek	N	2.85	1.15	0	-4	2/3	-90	118	_czła[rc]ek_
czwartek	wstarnek	N	2.85	1.15	0	-4	2/3	115	348	[_wst]arnek_
czwartek	wstarcek	N	2.65	0.95	0	-4	2/3	115	253	[_wst]arcek_
czwartek	szmarnek	N	2.6	0.9	0	-4	2/3	107	283	_szma[rn]ek_
czwartek	szmarcek	N	2.5	0.8	0	-4	2/3	-90	188	_szma[rc]ek_
czwartek	wczarnek	N	2.8	1.1	0	-4	2/3	107	245	_wcza[rn]ek_
czwartek	wczarcek	N	2.85	1.15	0	-4	2/3	-90	150	_wcza[rc]ek_
samorząd	sonorzod	N	3.55	1.4	0	-2	2/3	307	647	_so[n]orzod_
samorząd	sonorzęd	N	3.45	1.3	0	-2	2/3	307	634	_so[n]orzęd_
samorząd	sonorzud	N	3.35	1.2	0	-2	2/3	307	704	_so[n]orzud_
samorząd	soborzod	N	2.95	0.8	0	-2	2/3	-260	664	_[so]borzod_
samorząd	soborzęd	N	2.9	0.75	0	-2	2/3	-260	651	_[so]borzęd_
samorząd	soborzud	N	2.9	0.75	0	-2	2/3	-260	721	_[so]borzud_
samorząd	sarodzyd	N	2.95	0.8	0	-2	2/3	-960	1857	_saro[dz]yd_
samorząd	sarodzad	N	3.0	0.85	0	-2	2/3	-960	2340	_saro[dz]ad_
samorząd	sarodzęd	N	2.9	0.75	0	-2	2/3	-960	1852	_saro[dz]ęd_
samorząd	sarodzud	N	3.0	0.85	0	-2	2/3	-960	1874	_saro[dz]ud_
samorząd	sarodzod	N	3.0	0.85	0	-2	2/3	-960	1875	_saro[dz]od_
samorząd	sarodzid	N	2.45	0.3	0	-2	2/3	-960	2525	_saro[dz]id_
samorząd	sarodzed	N	2.9	0.75	0	-2	2/3	-960	1848	_saro[dz]ed_
samorząd	sarostyd	N	2.9	0.75	0	-2	2/3	-1008	2359	_saro[st]yd_
samorząd	sarostad	N	2.7	0.55	0	-2	2/3	-1008	2298	_saro[st]ad_
samorząd	sarostęd	N	2.95	0.8	0	-2	2/3	-1008	1836	_saro[st]ęd_
samorząd	sarostud	N	2.85	0.7	0	-2	2/3	-1008	1857	_saro[st]ud_
samorząd	sarostod	N	2.9	0.75	0	-2	2/3	-1008	1974	_saro[st]od_
samorząd	sarostid	N	3.0	0.85	0	-2	2/3	-1008	1920	_saro[st]id_
